filename,led_role,gauss_x,gauss_y,sigma_x,sigma_y,FWHM_px,centroid_x,centroid_y,peak of gauss,blob area,centroid_to_gauss_dist,dist bw leds
range0_exp200_1.dng,central,640.555358382986,402.265728598531,32.8959143631259,34.7497462873564,79.6764931294723,640.83357753259,400.432567466115,115.119608114084,11212,1.85415361623783,176.627479695404
range104_exp200_1.dng,central,581.435784050216,384.941866706577,7.53951564000377,7.43614894098038,17.6328979255861,582.02129903744,385.530417084086,178.002284910941,879,0.830192355500361,81.3950310708815
range130_exp200_1.dng,central,589.131995615585,382.970539666081,6.5460790577962,6.516069566006,15.3795281426056,589.599053999763,383.507157364081,176.902393193912,653,0.711408524012802,69.7943317969058
range156_exp200_1.dng,central,594.930441496263,381.587809087545,5.73923877406365,5.75877290015416,13.5378786243496,595.301320142445,382.068404273139,175.427713599006,506,0.607060707516062,61.066013681251
range182_exp200_1.dng,central,599.441405251191,380.472204641927,5.1428952404648,5.1755864945115,12.149131237414,599.747956570513,380.892390432746,172.91047918932,409,0.5201248025084,54.2888096507801
range208_exp200_1.dng,central,603.141755392231,379.646649766223,4.60369721575537,4.66908971014972,10.9181315676081,603.397671851135,380.019732407181,172.447747390319,341,0.452420038152917,48.8440599482144
range234_exp200_1.dng,central,606.166671146751,378.931154602734,4.18425447253429,4.28095276014746,9.96765897751466,606.377770520792,379.281382254505,170.191855564606,281,0.408928299075928,44.4791281377242
range260_exp200_1.dng,central,608.660630647918,378.456757383814,3.84235108297466,3.92418734391053,9.14489761878998,608.843881530989,378.762393493313,169.137213700593,243,0.356362620901496,40.7426165894844
range26_exp200_1.dng,central,638.469581915917,390.796042641756,21.1285824258336,21.5489893360283,50.2513826534443,638.653527841396,389.583247653287,113.831537201003,4266,1.22666531195585,114.955448734608
range286_exp200_1.dng,central,610.812803245984,377.992808845721,3.55354318667388,3.6529944853867,8.4858481450188,610.968272748065,378.274947651645,166.042144776892,212,0.322138280689015,37.6056477010992
range312_exp200_1.dng,central,612.631201163008,377.601508395834,3.30243755503596,3.4073576179098,7.9011370562931,612.767496337624,377.854547998824,163.932426576905,183,0.287411578238017,34.9109883879363
range338_exp200_1.dng,central,614.195186234011,377.339740691663,3.07630565056641,3.20533570352267,7.39761936764329,614.316596028906,377.579100383681,162.835906035829,160,0.268390388165559,32.5482257835736
range364_exp200_1.dng,central,615.572145425724,377.101937239431,2.89984054020346,3.01001453640955,6.95952387971025,615.68248616792,377.31436344771,160.493140382385,145,0.239374128410963,30.557034286306
range390_exp200_1.dng,central,616.777332312585,376.880462659912,2.73221834521369,2.83793808256004,6.55953183548371,616.877263786311,377.073523801623,159.290547251325,131,0.217391131097213,28.7411430101879
range416_exp200_1.dng,central,617.848471380348,376.738295896052,2.59502171861175,2.71099773935534,6.24884567421027,617.937266360849,376.909339686907,154.961655725658,119,0.192718776854447,27.1463219419216
range442_exp200_1.dng,central,618.774921646244,376.652405214508,2.46438037449091,2.55578688074562,5.91176835889715,618.862322220593,376.814441854445,154.492674198189,110,0.18410522284441,25.7154837901261
range468_exp200_1.dng,central,619.667490610717,376.521475184063,2.35519168222015,2.47218993494809,5.68547025340285,619.742935449862,376.683208730923,149.894177540191,97,0.178464741429213,24.3846224039139
range494_exp200_1.dng,central,620.395407016569,376.516824946113,2.24842250886527,2.35288693276707,5.41901784789168,620.457132762378,376.65775906612,145.495452040225,93,0.153858681515648,23.3021860835555
range520_exp200_1.dng,central,621.129217633796,376.453714016117,2.14420994893715,2.2256349156435,5.14598652046213,621.197604220191,376.584705214334,145.82728897362,83,0.1477681264996,22.2132422335742
range52_exp200_1.dng,central,637.571241031369,385.488072192821,15.3197819554667,15.3672431736189,36.1312138691823,637.672141158577,384.71324850728,112.174368177533,2238,0.781365842192837,86.2509744713427
range546_exp200_1.dng,central,621.770628416688,376.429256698989,2.0571264036694,2.14459073051875,4.94821007846491,621.828436714356,376.548564797567,142.596454888928,78,0.132575343354372,21.2386715976627
range572_exp200_1.dng,central,622.356667296675,376.389060598138,1.98211220890486,2.06577296392221,4.76703306646302,622.414665102304,376.501721489693,141.266567932264,69,0.126713148267599,20.3617332676868
range598_exp200_1.dng,central,622.903959055659,376.335554844445,1.93343312128645,1.99836598517407,4.62996576782959,622.96042919195,376.429910689477,137.471141412493,66,0.109963183767916,19.5312369937123
range624_exp200_1.dng,central,623.417090366415,376.365624277369,1.83599564178122,1.93200379285894,4.43791525116797,623.464326275414,376.460872278213,137.358100796532,65,0.106317509205355,18.8116680554694
range650_exp200_1.dng,central,623.908858152179,376.268389504609,1.82549057085209,1.88714626870974,4.37189369185893,623.959692994365,376.357985168782,130.607146225744,58,0.103012446911903,18.0947393598869
range676_exp200_1.dng,central,624.381585668751,376.223304929994,1.73586587505213,1.78598329135489,4.14707572018342,624.426367277311,376.29447867601,133.456440013872,56,0.0840898007326921,17.4255309347231
range702_exp200_1.dng,central,624.822243439002,376.153637361626,1.69647834193693,1.75894547069595,4.06911084995251,624.862558688096,376.217010639714,129.33182844671,53,0.0751098641005139,16.8516988477867
range728_exp200_1.dng,central,625.226263196727,376.082956709262,1.65137180614421,1.7107559367127,3.95921592008707,625.26978649498,376.147097515285,128.176628078754,49,0.077513356837116,16.305532043435
range754_exp200_1.dng,central,625.645568439138,375.969835633554,1.56610548901528,1.6469125297957,3.7842316267729,625.680819674125,376.034701165425,131.233197446621,50,0.0738253804126816,15.7755361411961
range780_exp200_1.dng,central,625.975601489501,375.94753786594,1.56963676576304,1.60441876284638,3.73738500101899,626.012310582425,376.021314617118,125.644759893659,47,0.0824048937725927,15.3600733972559
range78_exp200_1.dng,central,570.710094114966,387.700375696333,8.91853286982883,8.63303421908029,20.6681017181255,571.460400255523,388.320119019502,178.702069574979,1246,0.973160362514665,97.7565639009882
